code1,code2,visa_type,type2,diff
AFG,AFG,5,5,2
AFG,ALB,4,4,0
AFG,DZA,4,4,0
AFG,,4,0,-1
AFG,AGO,4,4,0
AFG,ARG,4,4,0
AFG,ARM,4,4,0
AFG,AUS,3,4,1
AFG,AUT,4,4,0
AFG,AZE,4,4,0
AFG,BGD,1,4,1
AFG,BLR,4,4,0
AFG,BEL,4,4,0
AFG,BLZ,4,4,0
AFG,BEN,4,4,0
AFG,BTN,4,4,0
AFG,BOL,4,4,0
AFG,BWA,4,4,0
AFG,BRA,4,4,0
AFG,BRN,4,4,0
AFG,BGR,4,4,0
AFG,BFA,4,4,0
AFG,BDI,4,4,0
AFG,KHM,4,4,0
AFG,CMR,4,4,0
AFG,CAN,4,4,0
AFG,CAF,4,4,0
AFG,TCD,4,4,0
AFG,CHL,4,4,0
AFG,CHN,4,4,0
AFG,COL,4,4,0
AFG,,1,0,-1
AFG,CRI,4,4,0
AFG,HRV,4,4,0
AFG,CUB,4,4,0
AFG,CYP,4,4,0
AFG,DNK,4,4,0
AFG,DJI,1,4,1
AFG,,0,0,0
AFG,DOM,4,4,0
AFG,ECU,4,4,0
AFG,EGY,4,4,0
AFG,SLV,4,4,0
AFG,GNQ,4,4,0
AFG,ERI,4,4,0
AFG,EST,4,4,0
AFG,ETH,4,4,0
AFG,FJI,4,4,0
AFG,FIN,4,4,0
AFG,FRA,4,4,0
AFG,GAB,3,4,1
AFG,GEO,4,4,0
AFG,DEU,4,4,0
AFG,GHA,4,4,0
AFG,GRC,4,4,0
AFG,GTM,4,4,0
AFG,GIN,4,4,0
AFG,GNB,1,4,1
AFG,GUY,4,4,0
AFG,HTI,0,4,1
AFG,HND,4,4,0
AFG,HUN,4,4,0
AFG,ISL,4,4,0
AFG,IND,4,4,0
AFG,IDN,4,4,0
AFG,IRN,4,4,0
AFG,IRQ,4,4,0
AFG,IRL,4,4,0
AFG,ISR,4,4,0
AFG,ITA,4,4,0
AFG,JAM,4,4,0
AFG,JPN,4,4,0
AFG,JOR,4,4,0
AFG,KAZ,4,4,0
AFG,KEN,4,4,0
AFG,KWT,4,4,0
AFG,KGZ,4,4,0
AFG,LAO,4,4,0
AFG,LVA,4,4,0
AFG,LBN,4,4,0
AFG,LSO,4,4,0
AFG,LBR,4,4,0
AFG,LBY,4,4,0
AFG,LTU,4,4,0
AFG,LUX,4,4,0
AFG,MKD,4,4,0
AFG,MDG,1,4,1
AFG,MWI,4,4,0
AFG,MYS,4,4,0
AFG,MLI,4,4,0
AFG,MRT,1,4,1
AFG,MEX,4,4,0
AFG,MDA,4,4,0
AFG,MNG,4,4,0
AFG,MNE,4,4,0
AFG,MAR,4,4,0
AFG,MOZ,1,4,1
AFG,NAM,4,4,0
AFG,NPL,4,4,0
AFG,NLD,4,4,0
AFG,NZL,4,4,0
AFG,NIC,4,4,0
AFG,NER,4,4,0
AFG,NGA,4,4,0
AFG,NOR,4,4,0
AFG,OMN,4,4,0
AFG,PAK,4,4,0
AFG,PAN,4,4,0
AFG,PNG,4,4,0
AFG,PRY,4,4,0
AFG,PER,4,4,0
AFG,PHL,4,4,0
AFG,POL,4,4,0
AFG,PRT,4,4,0
AFG,QAT,4,4,0
AFG,ROU,4,4,0
AFG,RUS,4,4,0
AFG,RWA,4,4,0
AFG,SAU,4,4,0
AFG,SEN,4,4,0
AFG,SRB,4,4,0
AFG,SLE,4,4,0
AFG,SVK,4,4,0
AFG,SVN,4,4,0
AFG,SLB,4,4,0
AFG,SOM,4,4,0
AFG,ZAF,4,4,0
AFG,SDS,4,4,0
AFG,ESP,4,4,0
AFG,LKA,2,4,1
AFG,SDN,4,4,0
AFG,SUR,4,4,0
AFG,SWZ,4,4,0
AFG,SWE,4,4,0
AFG,CHE,4,4,0
AFG,SYR,4,4,0
AFG,TJK,4,4,0
AFG,TZA,4,4,0
AFG,THA,4,4,0
AFG,TGO,1,4,1
AFG,TUN,4,4,0
AFG,TUR,4,4,0
AFG,TKM,4,4,0
AFG,UGA,1,4,1
AFG,UKR,4,4,0
AFG,ARE,4,4,0
AFG,GBR,4,4,0
AFG,USA,4,4,0
AFG,URY,4,4,0
AFG,UZB,4,4,0
AFG,VUT,4,4,0
AFG,VEN,4,4,0
AFG,VNM,4,4,0
AFG,YEM,4,4,0
AFG,ZMB,3,4,1
AFG,ZWE,3,4,1
ALB,AFG,4,4,0
ALB,ALB,5,5,2
ALB,DZA,4,4,0
ALB,,0,0,0
ALB,AGO,4,4,0
ALB,ARG,4,0,-1
ALB,ARM,1,0,-1
ALB,AUS,4,0,-1
ALB,AUT,0,0,0
ALB,AZE,3,0,-1
ALB,,4,0,-1
ALB,BGD,1,4,1
ALB,BLR,0,4,1
ALB,BEL,0,0,0
ALB,BLZ,4,4,0
ALB,BEN,4,4,0
ALB,BTN,4,4,0
ALB,BOL,1,4,1
ALB,BWA,4,4,0
ALB,BRA,0,0,0
ALB,BRN,4,4,0
ALB,BGR,0,0,0
ALB,BFA,4,4,0
ALB,BDI,4,4,0
ALB,KHM,1,4,1
ALB,CMR,4,4,0
ALB,CAN,4,0,-1
ALB,CAF,4,4,0
ALB,TCD,4,4,0
ALB,CHL,0,0,0
ALB,CHN,4,4,0
ALB,COL,4,4,0
ALB,,1,0,-1
ALB,CRI,4,0,-1
ALB,HRV,0,0,0
ALB,CUB,4,4,0
ALB,CYP,0,0,0
ALB,DNK,0,0,0
ALB,DJI,1,4,1
ALB,DOM,1,4,1
ALB,ECU,0,4,1
ALB,EGY,1,4,1
ALB,SLV,4,0,-1
ALB,GNQ,4,4,0
ALB,ERI,4,4,0
ALB,EST,0,0,0
ALB,ETH,4,4,0
ALB,FJI,4,4,0
ALB,FIN,0,0,0
ALB,FRA,0,0,0
ALB,GAB,3,4,1
ALB,GEO,0,4,1
ALB,DEU,0,0,0
ALB,GHA,4,4,0
ALB,GRC,0,0,0
ALB,GTM,4,0,-1
ALB,GIN,4,4,0
ALB,GNB,1,4,1
ALB,GUY,4,4,0
ALB,HTI,0,4,1
ALB,HND,4,0,-1
ALB,HUN,0,0,0
ALB,ISL,0,0,0
ALB,IND,3,4,1
ALB,IDN,0,4,1
ALB,IRN,1,4,1
ALB,IRQ,4,4,0
ALB,IRL,4,0,-1
ALB,ISR,0,0,0
ALB,ITA,0,0,0
ALB,JAM,1,4,1
ALB,JPN,4,0,-1
ALB,JOR,4,4,0
ALB,KAZ,4,0,-1
ALB,KEN,3,4,1
ALB,KWT,4,0,-1
ALB,KGZ,1,4,1
ALB,LAO,1,4,1
ALB,LVA,0,0,0
ALB,LBN,4,4,0
ALB,LSO,4,4,0
ALB,LBR,4,4,0
ALB,LBY,4,4,0
ALB,LTU,0,0,0
ALB,LUX,0,0,0
ALB,MKD,0,0,0
ALB,MDG,1,4,1
ALB,MWI,1,4,1
ALB,MYS,0,0,0
ALB,MLI,4,4,0
ALB,MRT,1,4,1
ALB,MEX,4,0,-1
ALB,MDA,0,0,0
ALB,MNG,4,4,0
ALB,MNE,0,0,0
ALB,MAR,4,4,0
ALB,MOZ,1,4,1
ALB,NAM,4,4,0
ALB,NPL,1,4,1
ALB,NLD,0,0,0
ALB,NZL,4,0,-1
ALB,NIC,4,0,-1
ALB,NER,4,4,0
ALB,NGA,4,4,0
ALB,NOR,0,0,0
ALB,OMN,4,4,0
ALB,PAK,4,4,0
ALB,PAN,4,0,-1
ALB,PNG,4,4,0
ALB,PRY,4,0,-1
ALB,PER,4,4,0
ALB,PHL,4,4,0
ALB,POL,0,0,0
ALB,PRT,0,0,0
ALB,QAT,4,4,0
ALB,ROU,0,0,0
ALB,RUS,4,4,0
ALB,RWA,4,4,0
ALB,SAU,4,4,0
ALB,SEN,4,4,0
ALB,SRB,0,0,0
ALB,SLE,4,4,0
ALB,SVK,0,0,0
ALB,SVN,0,0,0
ALB,SLB,4,4,0
ALB,SOM,4,4,0
ALB,ZAF,4,4,0
ALB,SDS,4,4,0
ALB,ESP,0,0,0
ALB,LKA,2,4,1
ALB,SDN,4,4,0
ALB,SUR,4,4,0
ALB,SWZ,4,4,0
ALB,SWE,0,0,0
ALB,CHE,0,0,0
ALB,SYR,4,4,0
ALB,TJK,4,4,0
ALB,TZA,1,4,1
ALB,THA,4,4,0
ALB,TGO,1,4,1
ALB,TUN,4,4,0
ALB,TUR,0,0,0
ALB,TKM,4,4,0
ALB,UGA,1,4,1
ALB,UKR,0,0,0
ALB,ARE,4,0,-1
ALB,GBR,4,0,-1
ALB,USA,4,0,-1
ALB,URY,4,0,-1
ALB,UZB,4,4,0
ALB,VUT,4,4,0
ALB,VEN,4,0,-1
ALB,VNM,4,4,0
ALB,YEM,4,4,0
ALB,ZMB,1,4,1
ALB,ZWE,3,4,1
DZA,AFG,4,4,0
DZA,ALB,4,4,0
DZA,DZA,5,5,2
DZA,,4,0,-1
DZA,AGO,4,4,0
DZA,ARG,4,4,0
DZA,ARM,4,4,0
DZA,AUS,3,4,1
DZA,AUT,4,4,0
DZA,AZE,3,4,1
DZA,BGD,1,4,1
DZA,BLR,4,4,0
DZA,BEL,4,4,0
DZA,BLZ,4,4,0
DZA,BEN,0,4,1
DZA,BTN,4,4,0
DZA,BOL,1,4,1
DZA,BWA,4,4,0
DZA,BRA,4,4,0
DZA,BRN,4,4,0
DZA,BGR,4,4,0
DZA,BFA,4,4,0
DZA,BDI,4,4,0
DZA,KHM,1,4,1
DZA,CMR,4,4,0
DZA,CAN,4,4,0
DZA,CAF,4,4,0
DZA,TCD,4,4,0
DZA,CHL,4,4,0
DZA,CHN,4,4,0
DZA,COL,4,4,0
DZA,,1,0,-1
DZA,CRI,4,4,0
DZA,HRV,4,4,0
DZA,CUB,4,4,0
DZA,CYP,4,4,0
DZA,DNK,4,4,0
DZA,DJI,1,4,1
DZA,,0,0,0
DZA,DOM,4,4,0
DZA,ECU,0,4,1
DZA,EGY,4,4,0
DZA,SLV,4,4,0
DZA,GNQ,4,4,0
DZA,ERI,4,4,0
DZA,EST,4,4,0
DZA,ETH,4,4,0
DZA,FJI,4,4,0
DZA,FIN,4,4,0
DZA,FRA,4,4,0
DZA,GAB,3,4,1
DZA,GEO,3,4,1
DZA,DEU,4,4,0
DZA,GHA,1,4,1
DZA,GRC,4,4,0
DZA,GTM,4,4,0
DZA,GIN,0,4,1
DZA,GNB,1,4,1
DZA,GUY,4,4,0
DZA,HTI,0,4,1
DZA,HND,4,4,0
DZA,HUN,4,4,0
DZA,ISL,4,4,0
DZA,IND,4,4,0
DZA,IDN,0,4,1
DZA,IRN,1,4,1
DZA,IRQ,4,4,0
DZA,IRL,4,4,0
DZA,ISR,4,5,1
DZA,ITA,4,4,0
DZA,JAM,4,4,0
DZA,JPN,4,4,0
DZA,JOR,1,4,1
DZA,KAZ,4,4,0
DZA,KEN,3,4,1
DZA,KWT,4,4,0
DZA,KGZ,4,4,0
DZA,LAO,1,4,1
DZA,LVA,4,4,0
DZA,LBN,4,4,0
DZA,LSO,4,4,0
DZA,LBR,4,4,0
DZA,LBY,4,0,-1
DZA,LTU,4,4,0
DZA,LUX,4,4,0
DZA,MKD,4,4,0
DZA,MDG,1,4,1
DZA,MWI,1,4,1
DZA,MYS,0,0,0
DZA,MLI,0,0,0
DZA,MRT,0,0,0
DZA,MEX,4,4,0
DZA,MDA,3,4,1
DZA,MNG,4,4,0
DZA,MNE,4,4,0
DZA,MAR,0,0,0
DZA,MOZ,1,4,1
DZA,NAM,4,4,0
DZA,NPL,1,4,1
DZA,NLD,4,4,0
DZA,NZL,4,4,0
DZA,NIC,1,4,1
DZA,NER,4,4,0
DZA,NGA,4,4,0
DZA,NOR,4,4,0
DZA,OMN,4,4,0
DZA,PAK,4,4,0
DZA,PAN,4,4,0
DZA,PNG,4,4,0
DZA,PRY,4,4,0
DZA,PER,4,4,0
DZA,PHL,4,4,0
DZA,POL,4,4,0
DZA,PRT,4,4,0
DZA,QAT,4,4,0
DZA,ROU,3,4,1
DZA,RUS,4,4,0
DZA,RWA,1,4,1
DZA,SAU,4,4,0
DZA,SEN,1,4,1
DZA,SRB,4,4,0
DZA,SLE,4,4,0
DZA,SVK,4,4,0
DZA,SVN,4,4,0
DZA,SLB,4,4,0
DZA,SOM,4,4,0
DZA,ZAF,4,4,0
DZA,SDS,4,4,0
DZA,ESP,4,4,0
DZA,LKA,2,4,1
DZA,SDN,4,4,0
DZA,SUR,4,4,0
DZA,SWZ,4,4,0
DZA,SWE,4,4,0
DZA,CHE,4,4,0
DZA,SYR,4,4,0
DZA,TJK,1,4,1
DZA,TZA,1,4,1
DZA,THA,4,4,0
DZA,TGO,1,4,1
DZA,TUN,0,0,0
DZA,TUR,4,4,0
DZA,TKM,4,4,0
DZA,UGA,1,4,1
DZA,UKR,4,4,0
DZA,ARE,4,4,0
DZA,GBR,4,4,0
DZA,USA,4,4,0
DZA,URY,4,4,0
DZA,UZB,4,4,0
DZA,VUT,4,4,0
DZA,VEN,4,4,0
DZA,VNM,4,4,0
DZA,YEM,1,4,1
DZA,ZMB,4,4,0
DZA,ZWE,1,4,1
,AFG,4,0,-1
,ALB,0,0,0
,DZA,4,0,-1
,,5,0,2
,AGO,4,0,-1
,ARG,0,0,0
,ARM,0,0,0
,AUS,3,0,-1
,AUT,0,0,0
,AZE,3,0,-1
,,1,0,2
,BGD,1,0,-1
,,4,0,2
,BLR,0,0,0
,BEL,0,0,0
,BLZ,0,0,0
,BEN,4,0,-1
,BTN,4,0,-1
,BOL,0,0,0
,BWA,4,0,-1
,BRA,0,0,0
,BRN,4,0,-1
,BGR,0,0,0
,BFA,4,0,-1
,BDI,4,0,-1
,KHM,1,0,-1
,CMR,4,0,-1
,CAN,0,0,0
,CAF,4,0,-1
,TCD,4,0,-1
,CHL,0,0,0
,CHN,4,0,-1
,COL,0,0,0
,CRI,0,0,0
,HRV,0,0,0
,CUB,4,0,-1
,CYP,0,0,0
,DNK,0,0,0
,DJI,1,0,-1
,,0,0,2
,DOM,0,0,0
,ECU,0,0,0
,EGY,1,0,-1
,SLV,0,0,0
,GNQ,4,0,-1
,ERI,4,0,-1
,EST,0,0,0
,ETH,4,0,-1
,FJI,4,0,-1
,FIN,0,0,0
,FRA,0,0,0
,GAB,3,0,-1
,GEO,0,0,0
,DEU,0,0,0
,GHA,4,0,-1
,GRC,0,0,0
,GTM,0,0,0
,GIN,4,0,-1
,GNB,1,0,-1
,GUY,4,0,-1
,HTI,0,0,0
,HND,0,0,0
,HUN,0,0,0
,ISL,0,0,0
,IND,3,0,-1
,IDN,0,0,0
,IRN,1,0,-1
,IRQ,4,0,-1
,IRL,0,0,0
,ISR,0,0,0
,ITA,0,0,0
,JAM,0,0,0
,JPN,0,0,0
,JOR,1,0,-1
,KAZ,4,0,-1
,KEN,3,0,-1
,KWT,3,0,-1
,KGZ,1,0,-1
,LAO,1,0,-1
,LVA,0,0,0
,LBN,1,0,-1
,LSO,4,0,-1
,LBR,4,0,-1
,LBY,4,0,-1
,LTU,0,0,0
,LUX,0,0,0
,MKD,0,0,0
,MDG,1,0,-1
,MWI,4,0,-1
,MYS,0,0,0
,MLI,0,0,0
,MRT,1,0,-1
,MEX,0,0,0
,MDA,0,0,0
,MNG,4,0,-1
,MNE,0,0,0
,MAR,0,0,0
,MOZ,1,0,-1
,NAM,4,0,-1
,NPL,1,0,-1
,NLD,0,0,0
,NZL,0,0,0
,NIC,0,0,0
,NER,4,0,-1
,NGA,4,0,-1
,NOR,0,0,0
,OMN,1,0,-1
,PAK,4,0,-1
,PAN,0,0,0
,PNG,1,0,-1
,PRY,0,0,0
,PER,0,0,0
,PHL,0,0,0
,POL,0,0,0
,PRT,0,0,0
,QAT,1,0,-1
,ROU,0,0,0
,RUS,4,0,-1
,RWA,4,0,-1
,SAU,4,0,-1
,SEN,1,0,-1
,SRB,0,0,0
,SLE,4,0,-1
,SVK,0,0,0
,SVN,0,0,0
,SLB,1,0,-1
,SOM,4,0,-1
,ZAF,0,0,0
,SDS,4,0,-1
,ESP,0,0,0
,LKA,2,0,-1
,SDN,4,0,-1
,SUR,4,0,-1
,SWZ,0,0,0
,SWE,0,0,0
,CHE,0,0,0
,SYR,4,0,-1
,TJK,1,0,-1
,TZA,1,0,-1
,THA,1,0,-1
,TGO,1,0,-1
,TUN,0,0,0
,TUR,0,0,0
,TKM,4,0,-1
,UGA,1,0,-1
,UKR,0,0,0
,ARE,1,0,-1
,GBR,0,0,0
,USA,0,0,0
,URY,0,0,0
,UZB,4,0,-1
,VUT,0,0,0
,VEN,0,0,0
,VNM,4,0,-1
,YEM,4,0,-1
,ZMB,1,0,-1
,ZWE,1,0,-1
AGO,AFG,4,4,0
AGO,ALB,4,4,0
AGO,DZA,4,4,0
AGO,,4,0,-1
AGO,AGO,5,5,2
AGO,ARG,4,4,0
AGO,ARM,4,4,0
AGO,AUS,3,4,1
AGO,AUT,4,4,0
AGO,AZE,4,4,0
AGO,BGD,1,4,1
AGO,BLR,4,4,0
AGO,BEL,4,4,0
AGO,BLZ,4,4,0
AGO,BEN,0,4,1
AGO,BTN,4,4,0
AGO,BOL,4,4,0
AGO,BWA,0,4,1
AGO,BRA,4,4,0
AGO,BRN,4,4,0
AGO,BGR,4,4,0
AGO,BFA,4,4,0
AGO,BDI,4,4,0
AGO,KHM,1,4,1
AGO,CMR,4,4,0
AGO,CAN,4,4,0
AGO,CAF,4,4,0
AGO,TCD,4,4,0
AGO,CHL,4,4,0
AGO,CHN,4,4,0
AGO,COL,4,4,0
AGO,,1,0,-1
AGO,CRI,4,4,0
AGO,HRV,4,4,0
AGO,CUB,4,4,0
AGO,CYP,4,4,0
AGO,DNK,4,4,0
AGO,DJI,1,4,1
AGO,,0,0,0
AGO,DOM,4,4,0
AGO,ECU,0,4,1
AGO,EGY,4,4,0
AGO,SLV,4,4,0
AGO,GNQ,4,4,0
AGO,ERI,4,4,0
AGO,EST,4,4,0
AGO,ETH,4,4,0
AGO,FJI,4,4,0
AGO,FIN,4,4,0
AGO,FRA,4,4,0
AGO,GAB,3,4,1
AGO,GEO,3,4,1
AGO,DEU,4,4,0
AGO,GHA,1,4,1
AGO,GRC,4,4,0
AGO,GTM,4,4,0
AGO,GIN,4,4,0
AGO,GNB,1,4,1
AGO,GUY,4,4,0
AGO,HTI,0,4,1
AGO,HND,4,4,0
AGO,HUN,4,4,0
AGO,ISL,4,4,0
AGO,IND,3,4,1
AGO,IDN,0,4,1
AGO,IRN,1,4,1
AGO,IRQ,4,4,0
AGO,IRL,4,4,0
AGO,ISR,4,4,0
AGO,ITA,4,4,0
AGO,JAM,4,4,0
AGO,JPN,4,4,0
AGO,JOR,4,4,0
AGO,KAZ,4,4,0
AGO,KEN,3,4,1
AGO,KWT,4,4,0
AGO,KGZ,4,4,0
AGO,LAO,1,4,1
AGO,LVA,4,4,0
AGO,LBN,4,4,0
AGO,LSO,4,4,0
AGO,LBR,4,4,0
AGO,LBY,4,4,0
AGO,LTU,4,4,0
AGO,LUX,4,4,0
AGO,MKD,4,4,0
AGO,MDG,1,4,1
AGO,MWI,1,4,1
AGO,MYS,4,4,0
AGO,MLI,4,4,0
AGO,MRT,1,4,1
AGO,MEX,4,4,0
AGO,MDA,4,4,0
AGO,MNG,4,4,0
AGO,MNE,4,4,0
AGO,MAR,4,4,0
AGO,MOZ,1,4,1
AGO,NAM,0,0,0
AGO,NPL,1,4,1
AGO,NLD,4,4,0
AGO,NZL,4,4,0
AGO,NIC,1,4,1
AGO,NER,4,4,0
AGO,NGA,4,4,0
AGO,NOR,4,4,0
AGO,OMN,4,4,0
AGO,PAK,4,4,0
AGO,PAN,0,4,1
AGO,PNG,4,4,0
AGO,PRY,4,4,0
AGO,PER,4,4,0
AGO,PHL,0,4,1
AGO,POL,4,4,0
AGO,PRT,4,4,0
AGO,QAT,4,4,0
AGO,ROU,4,4,0
AGO,RUS,4,4,0
AGO,RWA,1,4,1
AGO,SAU,4,4,0
AGO,SEN,4,4,0
AGO,SRB,4,4,0
AGO,SLE,4,4,0
AGO,SVK,4,4,0
AGO,SVN,4,4,0
AGO,SLB,4,4,0
AGO,SOM,4,4,0
AGO,ZAF,4,4,0
AGO,SDS,4,4,0
AGO,ESP,4,4,0
AGO,LKA,3,4,1
AGO,SDN,4,4,0
AGO,SUR,4,4,0
AGO,SWZ,4,4,0
AGO,SWE,4,4,0
AGO,CHE,4,4,0
AGO,SYR,4,4,0
AGO,TJK,4,4,0
AGO,TZA,1,4,1
AGO,THA,4,4,0
AGO,TGO,1,4,1
AGO,TUN,0,4,1
AGO,TUR,4,4,0
AGO,TKM,4,4,0
AGO,UGA,0,4,1
AGO,UKR,4,4,0
AGO,ARE,4,4,0
AGO,GBR,4,4,0
AGO,USA,4,4,0
AGO,URY,4,4,0
AGO,UZB,4,4,0
AGO,VUT,4,4,0
AGO,VEN,4,4,0
AGO,VNM,4,4,0
AGO,YEM,4,4,0
AGO,ZMB,1,4,1
AGO,ZWE,0,4,1
ARG,AFG,4,4,0
ARG,ALB,0,4,1
ARG,DZA,4,4,0
ARG,,0,0,0
ARG,AGO,4,4,0
ARG,ARG,5,5,2
ARG,ARM,0,0,0
ARG,AUS,3,3,0
ARG,AUT,0,0,0
ARG,AZE,3,4,1
ARG,,1,0,-1
ARG,BGD,1,4,1
ARG,BLR,0,4,1
ARG,BEL,0,0,0
ARG,BLZ,0,4,1
ARG,BEN,4,4,0
ARG,BTN,4,4,0
ARG,BOL,0,0,0
ARG,BWA,0,4,1
ARG,BRA,0,0,0
ARG,BRN,4,4,0
ARG,BGR,0,0,0
ARG,BFA,1,4,1
ARG,BDI,4,4,0
ARG,KHM,1,4,1
ARG,CMR,4,4,0
ARG,CAN,4,3,-1
ARG,CAF,4,4,0
ARG,TCD,4,4,0
ARG,CHL,0,0,0
ARG,CHN,4,4,0
ARG,COL,0,0,0
ARG,CRI,0,0,0
ARG,HRV,0,0,0
ARG,CUB,4,4,0
ARG,CYP,0,0,0
ARG,DNK,0,0,0
ARG,DJI,1,4,1
ARG,DOM,0,4,1
ARG,ECU,0,0,0
ARG,EGY,1,4,1
ARG,SLV,0,0,0
ARG,GNQ,4,4,0
ARG,ERI,4,4,0
ARG,EST,0,0,0
ARG,ETH,1,4,1
ARG,FJI,0,4,1
ARG,FIN,0,0,0
ARG,FRA,0,0,0
ARG,GAB,3,4,1
ARG,GEO,0,0,0
ARG,DEU,0,0,0
ARG,GHA,4,4,0
ARG,GRC,0,0,0
ARG,GTM,0,0,0
ARG,GIN,4,4,0
ARG,GNB,1,4,1
ARG,GUY,0,0,0
ARG,HTI,0,0,0
ARG,HND,0,0,0
ARG,HUN,0,0,0
ARG,ISL,0,0,0
ARG,IND,3,4,1
ARG,IDN,0,4,1
ARG,IRN,1,4,1
ARG,IRQ,4,4,0
ARG,IRL,0,0,0
ARG,ISR,0,0,0
ARG,ITA,0,0,0
ARG,JAM,0,0,0
ARG,JPN,0,0,0
ARG,JOR,1,4,1
ARG,KAZ,0,0,0
ARG,KEN,3,4,1
ARG,,4,0,-1
ARG,KWT,4,4,0
ARG,KGZ,1,4,1
ARG,LAO,1,4,1
ARG,LVA,0,0,0
ARG,LBN,1,4,1
ARG,LSO,4,4,0
ARG,LBR,4,4,0
ARG,LBY,4,4,0
ARG,LTU,0,0,0
ARG,LUX,0,0,0
ARG,MKD,0,0,0
ARG,MDG,1,4,1
ARG,MWI,1,4,1
ARG,MYS,0,0,0
ARG,MLI,4,4,0
ARG,MRT,1,4,1
ARG,MEX,0,0,0
ARG,MDA,4,4,0
ARG,MNG,4,4,0
ARG,MNE,0,0,0
ARG,MAR,0,4,1
ARG,MOZ,1,4,1
ARG,NAM,4,4,0
ARG,NPL,1,4,1
ARG,NLD,0,0,0
ARG,NZL,0,0,0
ARG,NIC,0,0,0
ARG,NER,4,4,0
ARG,NGA,4,4,0
ARG,NOR,0,0,0
ARG,OMN,1,4,1
ARG,PAK,4,4,0
ARG,PAN,0,0,0
ARG,PNG,1,4,1
ARG,PRY,0,0,0
ARG,PER,0,0,0
ARG,PHL,0,4,1
ARG,POL,0,0,0
ARG,PRT,0,0,0
ARG,QAT,4,4,0
ARG,ROU,0,0,0
ARG,RUS,0,0,0
ARG,RWA,4,4,0
ARG,SAU,4,4,0
ARG,SEN,0,4,1
ARG,SRB,0,0,0
ARG,SLE,4,4,0
ARG,SVK,0,0,0
ARG,SVN,0,0,0
ARG,SLB,1,4,1
ARG,SOM,4,4,0
ARG,ZAF,0,0,0
ARG,SDS,4,4,0
ARG,ESP,0,0,0
ARG,LKA,2,4,1
ARG,SDN,4,4,0
ARG,SUR,0,0,0
ARG,SWZ,0,4,1
ARG,SWE,0,0,0
ARG,CHE,0,0,0
ARG,SYR,4,4,0
ARG,TJK,1,4,1
ARG,TZA,1,4,1
ARG,THA,0,0,0
ARG,TGO,1,4,1
ARG,TUN,0,4,1
ARG,TUR,0,0,0
ARG,TKM,4,4,0
ARG,UGA,1,4,1
ARG,UKR,0,0,0
ARG,ARE,4,4,0
ARG,GBR,0,0,0
ARG,USA,4,0,-1
ARG,URY,0,0,0
ARG,UZB,4,4,0
ARG,VUT,0,4,1
ARG,VEN,0,0,0
ARG,VNM,3,4,1
ARG,YEM,4,4,0
ARG,ZMB,1,4,1
ARG,ZWE,1,4,1
ARM,AFG,4,4,0
ARM,ALB,0,1,1
ARM,DZA,4,4,0
ARM,,4,0,-1
ARM,AGO,4,4,0
ARM,ARG,0,0,0
ARM,ARM,5,5,2
ARM,AUS,3,1,-1
ARM,AUT,4,0,-1
ARM,AZE,5,0,-1
ARM,BGD,1,4,1
ARM,,0,0,0
ARM,BLR,0,0,0
ARM,BEL,4,0,-1
ARM,BLZ,4,1,-1
ARM,BEN,4,4,0
ARM,BTN,4,1,-1
ARM,BOL,1,1,0
ARM,BWA,4,4,0
ARM,BRA,0,0,0
ARM,BRN,4,1,-1
ARM,BGR,4,0,-1
ARM,BFA,4,4,0
ARM,BDI,4,4,0
ARM,KHM,1,1,0
ARM,CMR,4,4,0
ARM,CAN,4,1,-1
ARM,CAF,4,4,0
ARM,TCD,4,4,0
ARM,CHL,4,1,-1
ARM,CHN,4,3,-1
ARM,COL,4,1,-1
ARM,,1,0,-1
ARM,CRI,4,1,-1
ARM,HRV,4,0,-1
ARM,CUB,4,1,-1
ARM,CYP,4,0,-1
ARM,DNK,4,0,-1
ARM,DJI,1,4,1
ARM,DOM,4,1,-1
ARM,ECU,0,1,1
ARM,EGY,4,4,0
ARM,SLV,4,1,-1
ARM,GNQ,4,4,0
ARM,ERI,4,4,0
ARM,EST,4,0,-1
ARM,ETH,4,4,0
ARM,FJI,4,1,-1
ARM,FIN,4,0,-1
ARM,FRA,4,0,-1
ARM,GAB,3,4,1
ARM,GEO,0,0,0
ARM,DEU,4,0,-1
ARM,GHA,4,4,0
ARM,GRC,4,0,-1
ARM,GTM,4,1,-1
ARM,GIN,4,4,0
ARM,GNB,1,4,1
ARM,GUY,4,1,-1
ARM,HTI,0,1,1
ARM,HND,4,1,-1
ARM,HUN,4,0,-1
ARM,ISL,4,0,-1
ARM,IND,3,4,1
ARM,IDN,0,1,1
ARM,IRN,0,0,0
ARM,IRQ,4,4,0
ARM,IRL,4,0,-1
ARM,ISR,4,1,-1
ARM,ITA,4,0,-1
ARM,JAM,1,1,0
ARM,JPN,4,1,-1
ARM,JOR,1,1,0
ARM,KAZ,0,0,0
ARM,KEN,4,4,0
ARM,KWT,4,1,-1
ARM,KGZ,0,0,0
ARM,LAO,1,4,1
ARM,LVA,4,0,-1
ARM,LBN,1,1,0
ARM,LSO,4,4,0
ARM,LBR,4,4,0
ARM,LBY,4,4,0
ARM,LTU,4,0,-1
ARM,LUX,4,0,-1
ARM,MKD,4,1,-1
ARM,MDG,1,4,1
ARM,MWI,1,4,1
